ISSN,"Abbreviated Journal Title",Rank,Field,Status
0149-1423,AAPG Bulletin (Print),A1,ENGENHARIAS I,Atualizado
0149-1423,AAPG Bulletin (Print),A1,ENGENHARIAS III,Atualizado
0149-1423,AAPG Bulletin (Print),A1,INTERDISCIPLINAR,Atualizado
1537-260X,Academy of Management Learning & Education,A1,ENGENHARIAS III,Atualizado
0360-0300,ACM Computing Surveys,A1,INTERDISCIPLINAR,Atualizado
0360-0300,ACM Computing Surveys,A1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
1084-4309,ACM Transactions on Design Automation of Electronic Systems,A1,ENGENHARIAS IV,Atualizado
0730-0301,ACM Transactions on Graphics,A1,CIÊNCIA DA COMPUTAÇÃO,Atualizado
0730-0301,ACM Transactions on Graphics,A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0098-3500,ACM Transactions on Mathematical Software,A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
0098-3500,ACM Transactions on Mathematical Software,A1,INTERDISCIPLINAR,Atualizado
1944-8244,ACS Applied Materials & Interfaces (Print),A1,INTERDISCIPLINAR,Atualizado
1944-8244,ACS Applied Materials & Interfaces (Print),A1,ENGENHARIAS III,Atualizado
1936-0851,ACS Nano,A1,INTERDISCIPLINAR,Atualizado
1742-7061,Acta Biomaterialia,A1,ENGENHARIAS I,Atualizado
1742-7061,Acta Biomaterialia,A1,ENGENHARIAS III,Atualizado
1742-7061,Acta Biomaterialia,A1,INTERDISCIPLINAR,Atualizado
1742-7061,Acta Biomaterialia,A1,ENGENHARIAS II,Atualizado
0108-7673,"Acta Crystallographica. Section A, Foundations of Crystallography",A1,ENGENHARIAS II,Atualizado
1359-6454,Acta Materialia (Oxford),A1,ENGENHARIAS III,Atualizado
1359-6454,Acta Materialia (Oxford),A1,ENGENHARIAS I,Atualizado
1359-6454,Acta Materialia (Oxford),A1,ENGENHARIAS II,Atualizado
1359-6454,Acta Materialia (Oxford),A1,INTERDISCIPLINAR,Atualizado
0001-5962,Acta Mathematica,A1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,Atualizado
1748-1708,Acta Physiologica (Print),A1,INTERDISCIPLINAR,Atualizado
0001-6918,Acta Psychologica,A1,INTERDISCIPLINAR,Atualizado
0001-706X,Acta Tropica,A1,INTERDISCIPLINAR,Atualizado
0965-2140,Addiction (Abingdon. Print),A1,INTERDISCIPLINAR,Atualizado
1570-8705,Ad Hoc Networks,A1,ENGENHARIAS IV,Atualizado
0929-5607,Adsorption (Boston),A1,ENGENHARIAS II,Atualizado
1438-1656,Advanced Engineering Materials (Print),A1,ENGENHARIAS II,Atualizado
1616-301X,Advanced Functional Materials (Print),A1,ENGENHARIAS II,Atualizado
1662-8985,Advanced Materials Research (Online),A1,ENGENHARIAS III,Atualizado
0935-9648,Advanced Materials (Weinheim Print),A1,INTERDISCIPLINAR,Atualizado
0935-9648,Advanced Materials (Weinheim Print),A1,ENGENHARIAS II,Atualizado
